id,slug,site,enricher_carrier_type,photo_count,about,verified
48,mistersparky,https://birminghammistersparky.com/?utm_source=GBP,,74,"{""Service options"": {""Onsite services"": true, ""Online estimates"": false, ""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Amenities"": {""Gender-neutral restroom"": true}, ""Planning"": {""Appointment required"": true}}",0
49,progressiveelectricalsolutions,,,1,{},0
50,leeelectricalservicesinc,http://leeelectrical.net/,,1,{},0
51,firstchoiceelectricalservicesbirmingham,,,8,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""American Sign Language""}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",0
52,layneelectric,,Mobile,,{},0
53,fivestarelectricco,,,3,{},0
54,pinnacleelectricllc,,,4,{},0
55,marathonelectricalcontractors,http://marathonelectrical.com/,,16,"{""Service options"": {""Onsite services"": true, ""Online estimates"": false}}",0
56,whitemetroelectriccoinc,,,1,{},0
57,nchargeelectricalservices,,Mobile,2,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Online estimates"": false}, ""Planning"": {""Appointment required"": true}, ""Other"": {""Identifies as women-owned"": true}}",0
58,birminghamelectricalcontractors,http://www.birminghamec.com/,,,{},0
59,hillerplumbingheatingcoolingelectricalformerlyservicetechinc,https://happyhiller.com/locations/birmingham/?utm_source=gmb,,20,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",0
60,mccloudelectric,http://mccloudelectric.com/,,1,{},0
61,smooveelectricalservices,,Mobile,3,"{""Service options"": {""Online estimates"": false}}",0
62,crosbyelectriccompanyincc2technologygroup,https://www.crosbycommunications.com/,,1,{},0
63,jtielectricalinstrumentationllc,https://www.jtielectric.com/,,3,{},0
64,acgarciallc,https://garciamp.com/,,88,{},0
65,haymakerelectricltd,,,4,{},0
66,hydeengineering,http://hyde-egr.com/,,1,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",0
67,clemelectricservice,,,1,{},0
68,ironmountainelectricllc,,,1,{},0
69,allenelectricllc,https://allencontractorsal.com/,,5,{},0
70,superiorserviceelectric,https://superiorservice247.com/,,59,"{""Service options"": {""Onsite services"": true, ""Online estimates"": false}, ""Planning"": {""Appointment required"": true}}",0
71,alphaelectricalcontractorsllc,http://www.alphaelectricalllc.com/,,1,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}}",0
72,websterelectricco,,,1,{},0
73,thirdgenelectricllc,http://thirdgenelectricllc.com/,,3,{},0
74,huffmanelectricalcontractorinc,http://huffmanelectricalcontractors.net/,,8,{},0
75,aliciahicksllc,,,8,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Online estimates"": true, ""Onsite services"": true, ""Language assistance"": ""English""}, ""Other"": {""Identifies as women-owned"": true}}",0
76,southlandelectricco,,,1,{},0
77,dixielandelectriccompanyinc,http://dixielandelectric.com/,Landline,,{},0
78,scottservices,http://scottservices.com/,,1,{},0
79,engleservicesheatingairelectricalplumbing,https://engleservicesheatingandair.com/birmingham-heating-and-air/,,76,"{""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}}",0
80,jacksonelectricalservicesofalabamallc,,Mobile,30,{},0
81,mtserviceco,,,8,"{""Service options"": {""Online estimates"": true, ""Onsite services"": false}}",0
82,brotherselectricco,,,5,{},0
83,stancelservices,,Mobile,100,"{""From the business"": {""Identifies as Asian-owned"": true, ""Identifies as veteran-owned"": true}, ""Service options"": {""Online estimates"": false, ""Language assistance"": ""English, Spanish""}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as veteran-owned"": true, ""Identifies as Asian-owned"": true}}",0
84,goodstewartelectric,,Mobile,6,{},0
85,rockettelectricllc,http://www.rockettelectric.com/,,,{},0
86,eliservices,https://eliservices.org/?utm_source=gmb,,12,{},0
87,dixielandelectricco,http://dixielandelectric.com/,Landline,7,{},0
88,teselectric,https://tes-electric1.com/?utm_source=google,,5,"{""Service options"": {""Online estimates"": false}}",0
89,boltelectric,,Mobile,1,{},0
90,goodmanservices,,,1,{},0
91,shanemorganelectricalcontractor,http://www.shanemorganelectricalcontractor.com/,,42,"{""Service options"": {""Online estimates"": false}}",0
92,sheffieldelectricalcontractorsllc,,,1,{},0
93,jacksonelectric,https://jacksonelectricalabama.com/,,1,{},0
94,coolrayheatingcoolingplumbingelectrical,https://www.coolray.com/al/birmingham?category=ggmb,,38,"{""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}}",0
95,allamericanlighting,,,1,{},0
96,jkelectricinc,,,1,{},0
97,arrowelectricco,https://www.alabama-electrician.com/electrician-in-brook-highland/,,1,{},0
98,actionelectricadivisionofhoukelectricinc,,,,{},0
99,onesourceheatingcoolingelectrical,https://www.onesourceair.com/,Voip,77,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true}, ""Offerings"": {""Repair services"": true}}",0
